测试结果               职业分类               职业项                                                          所需专业及代码            
ENTJ
              商业                                                                              
                                      经理                                                           行政管理120402，行政管理6502
                                      高级主管                                                         电子商务类1208，电信商务59035
                                      办公室经理                                                        行政管理120402，行政管理6502
                                      行政管理人                                                        市场管理与服务620511，市场营销1
                                      人事经理                                                         行政管理120402，行政管理6502
                                      销售经理                                                         市场管理与服务620511，市场营销1
                                      营销经理                                                         市场管理与服务620511，市场营销1
                                      网络一体化专家(电讯)                                                  计算机0809，电子商务1208   
                                      技术培训人员                                                       电子807，通信类5903，计算机08
                                      信息服务——新业务开发人                                                 电子807，通信类5903，计算机08
                                      后勤顾问(生产)                                                     物流管理与工程类1206，物流管理12
                                      广告业务经理                                                       市场管理与服务620511，市场营销1
                                      管理顾问：电脑／信息服务，营销，机构重组                                         行政管理120402，行政管理6502
                                      营销经理：广播／电视／有线播放行业                                            市场管理与服务620511，市场营销1
                                      媒体策划／买主                                                      文化创意与策划660153，戏剧影视导
                                      国际销售和营销                                                      市场管理与服务620511，市场营销1
                                      特许权所有人                                                       
                                      销售经理：制药业                                                     市场管理与服务620511，市场营销1
                                      管理人：健康服务
                                                    藏医学100503，中医学类1005，
                   金融                                                                              
                                      个人财务设计人                                                      审计实务620207，审计学12020
                                      经济分析家                                                        审计实务620207，审计学12020
                                      抵押经纪人                                                        
                                      信用调查员                                                        审计实务620207，审计学12020
                                      股票经纪人                                                        审计实务620207，审计学12020
                                      投资银行家                                                        财务会计类其他专业620299，财务会
                                      公司财务律师                                                       法律执行类6902，法律实务类其他专业
                                      国际银行家                                                        财务会计类其他专业620299，财务会
                                      经济学家
                                                        金融学类0203，金融学020301，
                   咨询／培训                                                                           
                                      商业顾问                                                         财务会计类其他专业620299，财务会
                                      管理顾问                                                         行政管理120402，行政管理6502
                                      教育顾问                                                         教育学04，教育学类0401，教育学0
                                      项目设计人                                                        行政管理120402，行政管理6502
                                      管理培训人                                                        行政管理120402，行政管理6502
                                      就业开发专家                                                       教育学04，教育学类0401，教育学0
                                      劳工关系                                                         行政管理650203，人力资源管理12
                                      电信安全顾问                                                       电信工程及管理080715，程控交换技
                                      公司工作小组培训人
                                                   人力资源管理120206，人力资源管理
                   专业性职业                                                                           
                                      律师                                                           法律执行类6902，法律实务类其他专业
                                      法官                                                           法律执行类6902，法律实务类其他专业
                                      心理学家                                                         应用心理学071102，心理学类071
                                      科学／社会科学教师                                                    教育学04，教育学类0401，教育学0
                                      化学工程师                                                        化学类0703，化工技术类及其专业53
                                      知识产权律师                                                       法律执行类6902，法律实务类其他专业
                                      生物医学工程师                                                      生物医学工程类0826，生物医学工程0
                                      精神病学家                                                        精神医学100205         
                                      环境工程师
                                                       环境工程082502，环保类6001 
ENFP
                                                                                              
                   创造性职业                                                                           
                                      记者                                                           新闻传播学类0503，新闻学05030
                                      编剧或剧作家                                                       戏剧与影视学类1303，戏剧学1303
                                      专栏作家                                                         戏剧与影视学类1303，戏剧学1303
                                      性格演员                                                         戏剧与影视学类1303，戏剧学1303
                                      音乐家或作曲家                                                      音乐与舞蹈学类1302，音乐学1302
                                      新闻广播员                                                        广播影视类6703，广播电视学0503
                                      室内装潢人                                                        室内设计技术560104，室内艺术设计
                                      卡通制作人                                                        动画130310           
                                      艺术家                                                          艺术学理论类1301，艺术设计学130
                                      报道人或编辑                                                       新闻传播学类0503，新闻学05030
                                      杂志报道人或编辑                                                     新闻传播学类0503，新闻学05030
                                      信息图片设计师
                                                     工艺美术品设计与制作670134，设计
                   营销／计划                                                                           
                                      公关专家                                                         市场管理与服务620511，市场营销1
                                      营销顾问                                                         市场管理与服务620511，市场营销1
                                      广告业务经理                                                       市场管理与服务620511，市场营销1
