"测试结果"	"职业分类"	"职业项"	"所需专业及代码"
"ENTJ
"	"商业"		
		"经理"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120106"
		"高级主管"	"电子商务类1208，电信商务590351，国际商务620305，商务管理620503，移动商务620519"
		"办公室经理"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120106"
		"行政管理人"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"人事经理"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120106"
		"销售经理"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"营销经理"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"网络一体化专家(电讯)"	"计算机0809，电子商务1208"
		"技术培训人员"	"电子807，通信类5903，计算机0809，电子商务1208"
		"信息服务——新业务开发人"	"电子807，通信类5903，计算机0809，电子商务1208"
		"后勤顾问(生产)"	"物流管理与工程类1206，物流管理120601，物流工程120602，物流管理620505"
		"广告业务经理"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"管理顾问：电脑／信息服务，营销，机构重组"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120106"
		"营销经理：广播／电视／有线播放行业"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"媒体策划／买主"	"文化创意与策划660153，戏剧影视导演130306，戏剧影视表演670209，广播影视类6703，广播电视学050302，广播电视工程080707，广播电视编导130305，广播电视技术670301"
		"国际销售和营销"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"特许权所有人"	
		"销售经理：制药业"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"管理人：健康服务
"	"藏医学100503，中医学类1005，针灸推拿学100502，蒙医学100504，维医学100505，壮医学100506，哈医学100508，中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
	"金融"		
		"个人财务设计人"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120209"
		"经济分析家"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120209"
		"抵押经纪人"	
		"信用调查员"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120209"
		"股票经纪人"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120203，金融数学020305"
		"投资银行家"	"财务会计类其他专业620299，财务会计类6202，财务管理120204，会计学120203，金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"公司财务律师"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"国际银行家"	"财务会计类其他专业620299，财务会计类6202，财务管理120204，会计学120203，金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"经济学家
"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
	"咨询／培训"		
		"商业顾问"	"财务会计类其他专业620299，财务会计类6202，财务管理120204，会计学120203，金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"管理顾问"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120106"
		"教育顾问"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
